site,y.1,y.2,y.3,area,cat
1,0,0,0,55412242,AWC
2,0,0,0,55412242,AWC
3,1,1,1,3281866,High
4,0,0,0,96567535,AWC
5,0,0,0,31092448,AWC
6,1,1,1,59059384,AWC
7,0,1,1,4658522,High
8,1,1,1,10600160,High
9,0,0,0,50600363,AWC
10,0,0,0,37042522,AWC
11,0,0,1,29658074,High
12,0,0,0,16182095,AWC
13,0,0,0,33432293,High
14,1,1,1,36060206,AWC
15,1,1,1,33432293,High
16,0,0,0,18081349,AWC
17,0,0,0,48447287,AWC
18,0,0,1,64215078,High
19,0,0,1,77159965,AWC
20,0,0,0,83099611,Low
21,0,1,1,53458919,AWC
22,0,0,0,92459370,Low
23,0,1,1,20951477,High
24,0,0,0,63993932,AWC
25,1,1,1,42703978,High
26,0,0,0,24172143,AWC
27,1,1,1,63993932,AWC
28,0,0,0,40975897,High
29,0,0,0,54184037,High
30,0,0,0,45278856,High
31,0,0,0,127400485,Low
32,1,1,1,25578756,Low
33,0,0,0,44259744,Low
34,1,1,1,23642036,High
35,0,1,1,58252341,High
